pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1176,688050.SH,爱博医疗,0.10914023372287152,27.618506954300326,2.0747368211550112,1.8924323374650713,1.384913538388668,0.529636550275895,193437735.0,40.41,40.43,39.27,39.59,1938829.0,76701424.0,40.46,-2.150271873455256,20.0,48.55,False,False,True,63.21068938807126
1177,300324.SZ,旋极信息,0.11440677966101696,32.398753894081,2.3763033871029884,1.9972093786728446,0.8428664224969664,0.8039595035923545,1709983348.0,3.71,3.74,3.64,3.68,27456783.0,101026046.0,3.75,-1.866666666666661,20.0,4.5,False,False,True,63.15453137103022
1178,300239.SZ,东宝生物,0.3119658119658122,28.923766816143505,1.4693292844792705,1.6313261885934924,0.9840029148257241,0.6286431251013324,589777015.0,5.19,5.21,5.09,5.13,6048293.0,31047703.0,5.19,-1.1560693641618602,20.0,6.23,False,False,True,63.119674670797835
1179,300190.SZ,维尔利,0.25806451612903225,34.036144578313255,1.8622946262037388,1.6067368060431229,0.6819392237388461,0.6606937043312457,944241642.0,3.79,3.81,3.72,3.78,10023700.0,37684404.0,3.8,-0.5263157894736858,20.0,4.56,False,False,True,63.11192873741286
1180,600518.SH,康美药业,0.2252252252252252,29.31034482758621,1.7723252525059832,1.4456969514456672,1.1352301305536676,0.5952170857614301,13822352188.0,1.41,1.42,1.39,1.39,118941828.0,166524471.0,1.41,-1.4184397163120588,10.0,1.55,False,False,True,63.10224632068163
1181,603077.SH,和邦生物,0.3313253012048194,23.188405797101442,1.6220222546347767,1.9175461750846639,0.9202889964252707,1.8514455394831404,8831707728.0,2.43,2.45,2.32,2.35,313546101.0,738096129.0,2.43,-3.292181069958855,10.0,2.67,False,False,True,63.088690937257944
1182,603101.SH,汇嘉时代,0.21559074299634584,30.000000000000004,1.692243378217838,1.9719870323129212,0.9678324105015593,1.0619704541512407,470400000.0,7.72,7.78,7.57,7.69,9851079.0,75404849.0,7.77,-1.0296010296010238,10.0,8.55,False,False,True,63.08384972889232
1183,000155.SZ,川能动力,0.29497907949790797,30.879541108986608,1.401872382218342,2.0978066744468045,0.8560085282924553,0.8805337964111362,1846168342.0,12.55,12.55,12.13,12.25,34102231.0,418377913.0,12.6,-2.777777777777779,10.0,13.86,False,False,True,63.059643687064295
1184,600241.SH,时代万恒,0.3969631236442516,31.51618398637137,1.650849262300083,1.3863683242643314,0.579927054841907,0.8214971978828127,294302115.0,7.67,7.67,7.51,7.65,3351800.0,25463181.0,7.7,-0.649350649350644,10.0,8.47,False,False,True,63.05383423702556
1185,301131.SZ,聚赛龙,0.28541753219775645,37.29729729729729,1.2186976600441102,2.231764129919239,0.7696330997600854,0.9162957482710025,39154877.0,34.48,34.61,33.95,34.45,800700.0,27461412.0,34.62,-0.4910456383593109,20.0,41.54,False,False,True,62.97831138652208
1186,000159.SZ,国际实业,0.3183183183183182,34.69387755102038,1.360118106792015,2.0996072442800986,0.6721870503750458,0.8374330129143437,480668493.0,5.94,5.97,5.81,5.83,8451500.0,49521778.0,5.96,-2.181208053691275,10.0,6.56,False,False,True,62.9705654531371
1187,600426.SH,华鲁恒升,0.25015752993068696,28.757062146892665,1.5915188112880816,1.6036154149973447,1.1784050835809776,1.5256579285307967,2749579013.0000005,21.95,22.3,20.6,20.68,67270336.0,1424195019.0,21.67,-4.56852791878174,10.0,23.84,False,False,True,62.83307513555383
1188,002092.SZ,中泰化学,0.2297551789077212,36.78474114441417,1.3659427552974313,2.2193304706203563,0.871204114451167,1.2682138104412457,2575637892.0,4.93,4.97,4.69,4.8,72493532.0,346375667.0,4.89,-1.8404907975460127,10.0,5.38,False,False,True,62.794345468628975
1189,002530.SZ,金财互联,0.1706293706293707,29.793977812995244,1.5819937781860696,2.4218516886950083,1.1674223494021103,0.6846175707770468,706661559.0,7.46,7.55,7.41,7.51,11716747.0,87836735.0,7.53,-0.26560424966800555,10.0,8.28,False,False,True,62.70914020139426
1190,688317.SH,之江生物,0.1929698708751792,31.215846994535525,1.7766997971550218,1.593173625892855,1.1670156799382643,0.4426008656291678,189843712.0,17.25,17.32,17.0,17.01,1338664.0,22845082.0,17.33,-1.8465089440276805,20.0,20.8,False,False,True,62.66266460108443
1191,000803.SZ,山高环能,0.28835489833641403,32.93515358361774,1.5327474586549177,2.0457798335303603,0.7454333360348042,1.1348045861007812,464888628.0,7.39,7.6,7.3,7.55,10792670.0,80497731.0,7.42,1.7520215633423097,10.0,8.16,False,False,True,62.65879163439193
1192,002707.SZ,众信旅游,0.2449888641425391,24.782608695652186,1.4942924057551628,2.300615029366649,1.2436868001292123,1.3545311235896969,865278032.0,5.66,5.73,5.58,5.66,26964267.0,152891373.0,5.7,-0.7017543859649145,10.0,6.27,False,False,True,62.51936483346242
1193,000537.SZ,绿发电力,0.12112259970457907,37.075332348596746,2.3660456752857693,1.6778775636860817,0.8129955719610858,0.3287472989652622,2055717899.0,7.55,7.59,7.46,7.49,11339293.0,85086686.0,7.59,-1.3175230566534912,10.0,8.35,False,False,True,62.507745933384975
1194,300306.SZ,远方信息,0.32524964336661927,30.299401197604816,1.381745018646077,1.7889277689695762,0.9528279438857337,0.699827510886876,157651136.0,10.51,10.66,10.45,10.55,1973699.0,20815269.0,10.63,-0.7525870178739402,20.0,12.76,False,False,True,62.50193648334624
