pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1255,600715.SH,文投控股,0.1358695652173913,30.769230769230795,2.159641179161616,1.5026805627828834,1.5346288279858442,1.6835829047856818,2862372241.0,1.67,1.8,1.67,1.75,72414792.0,126474615.0,4.166666666666674,10.0,1.85,False,False,True,61.45042602633617
1256,688036.SH,传音控股,0.14777481932293643,36.14969135802468,1.9395077357781372,1.4317340839560997,1.1809071845971297,0.9047433635008679,1151184545.0,56.81,59.12,56.81,58.19,14911891.0,872951281.0,1.8197725284339494,20.0,68.58,False,False,True,61.423315259488774
1257,688317.SH,之江生物,0.1872309899569584,31.215846994535525,1.8664540043005342,1.6216964562934741,1.187908939638749,0.42298104996810737,189843712.0,17.18,17.4,17.16,17.33,1302227.0,22511071.0,0.4637681159420204,20.0,20.7,False,False,True,61.40201394268009
1258,002483.SZ,润邦股份,0.20474777448071207,31.645569620253156,1.4186854480938438,1.9520666594732956,1.6857988496440257,0.6983860021249041,885250799.0,5.41,5.52,5.41,5.49,12068589.0,66158433.0,1.1049723756906271,10.0,5.97,False,False,True,61.37683965917894
1259,000812.SZ,陕西金叶,0.2673992673992674,26.8456375838926,1.476646894668416,2.05216514969738,1.2004057869705822,1.7755229161189081,756129681.0,3.69,3.88,3.68,3.87,27550842.0,104785237.0,4.312668463611868,10.0,4.08,False,False,True,61.35553834237024
1260,601162.SH,天风证券,0.2852112676056338,33.22368421052631,1.232087943140872,1.8171748428593122,1.1971097723622268,1.457475639899745,8597970474.0,3.83,3.9,3.8,3.89,227716222.0,882307746.0,1.0389610389610393,10.0,4.24,False,False,True,61.332300542215336
1261,688151.SH,华强科技,0.23506743737957625,30.701754385964897,1.786771206084591,1.138664963715526,1.6003420415769813,0.7515327194977501,344500000.0,16.12,16.47,16.04,16.45,2948038.0,48129927.0,2.0471464019851116,20.0,19.34,False,False,True,61.115414407436084
1262,002030.SZ,达安基因,0.1941176470588236,25.0,2.003940551268333,1.9461226885281409,1.2427063455924225,0.7332769051738091,1403446032.0000002,5.45,5.58,5.43,5.54,20027832.0,110941439.0,1.46520146520146,10.0,6.01,False,False,True,61.091208365608054
1263,688196.SH,卓越新能,0.04297858942065491,35.11904761904763,2.3344138830867003,1.7436285778385094,1.2455396574581383,1.3038581863058891,127190795.0,32.88,35.3,32.87,35.0,2891612.0,100059801.0,6.157112526539277,20.0,39.56,False,False,True,61.051510457010075
1264,688113.SH,联测科技,0.3643373493975905,38.20263705759888,1.729844774046126,1.0187074792695114,0.7128706173832253,0.9752558123937013,64397559.0,36.5,36.53,35.85,36.42,639790.0,23175304.0,0.10995052226496771,20.0,43.66,False,False,True,60.943067389620445
1265,002262.SZ,恩华药业,0.3782527881040893,30.17817371937639,1.363932959303484,1.3714650677356606,1.174439238089646,1.5473307515591963,883776305.0,22.0,23.25,21.92,22.97,18754706.0,428539619.0,4.266908760780752,10.0,24.23,False,False,True,60.815259488768405
1266,600774.SH,汉商集团,0.30689655172413793,33.39041095890411,1.5471505793265223,1.462959105589518,0.9872816193887243,2.0747716654175483,294880177.0,7.64,7.92,7.55,7.85,8950516.0,69952917.0,3.0183727034120755,10.0,8.38,False,False,True,60.81332300542216
1267,600736.SH,苏州高新,0.29038461538461535,36.27118644067795,1.2962313829168544,2.2250045313620554,0.856269629112283,1.315757253783612,1151292907.0,6.84,6.91,6.81,6.82,33704858.0,230826363.0,-1.01596516690855,10.0,7.58,False,False,True,60.80945003872967
